Corruption Perceptions Index 2019: Global Scores ,,,,,,
,,,,,,
Country,CPI score 2019,Rank,standard error ,Number of sources,Lower CI,Upper CI
Maldives,29,130,2.57,3,24.79,33.21
Mali,29,130,2.62,8,24.70,33.30
Mexico,29,130,1.73,9,26.17,31.83
Myanmar,29,130,4.21,7,22.09,35.91
Togo,29,130,2.40,7,25.06,32.94
Dominican Republic,28,137,2.70,7,23.57,32.43
Kenya,28,137,2.17,9,24.44,31.56
Lebanon,28,137,2.27,7,24.27,31.73
Liberia,28,137,2.67,7,23.63,32.37
Mauritania,28,137,2.73,6,23.52,32.48
Papua New Guinea,28,137,2.38,6,24.10,31.90
Paraguay,28,137,2.84,6,23.35,32.65
Russia,28,137,2.48,9,23.94,32.06
Uganda,28,137,2.04,9,24.66,31.34
Angola,26,146,1.82,7,23.01,28.99
Bangladesh,26,146,2.62,8,21.71,30.29
Guatemala,26,146,2.23,7,22.34,29.66
Honduras,26,146,3.25,7,20.66,31.34
Iran,26,146,3.63,7,20.05,31.95
Mozambique,26,146,2.98,9,21.12,30.88
Nigeria,26,146,1.87,8,22.94,29.06
Cameroon,25,153,2.42,9,21.02,28.98
Central African Republic,25,153,1.43,5,22.66,27.34
Comoros,25,153,8.90,4,10.40,39.60
Tajikistan,25,153,6.66,6,14.08,35.92
Uzbekistan,25,153,2.01,7,21.70,28.30
Madagascar,24,158,2.48,8,19.94,28.06
Zimbabwe,24,158,2.31,9,20.22,27.78
Eritrea,23,160,6.66,5,12.08,33.92
Nicaragua,22,161,1.16,7,20.09,23.91
Cambodia,20,162,3.41,8,14.41,25.59
Chad,20,162,2.45,6,15.98,24.02
Iraq,20,162,2.98,5,15.11,24.89
Burundi,19,165,4.89,6,10.97,27.03
Congo,19,165,1.03,6,17.31,20.69
Turkmenistan,19,165,1.42,5,16.68,21.32
Democratic Republic of the Congo,18,168,1.43,9,15.66,20.34
Guinea Bissau,18,168,2.91,6,13.23,22.77
Haiti,18,168,3.23,6,12.69,23.31
Libya,18,168,2.24,5,14.32,21.68
"Korea, North",17,172,3.16,4,11.82,22.18
Afghanistan,16,173,2.55,5,11.81,20.19
Equatorial Guinea,16,173,3.00,4,11.08,20.92
Sudan,16,173,2.74,7,11.50,20.50
Venezuela,16,173,2.05,8,12.64,19.36
Yemen,15,177,1.89,7,11.91,18.09
Syria,13,178,1.92,5,9.85,16.15
South Sudan,12,179,1.26,5,9.93,14.07
Somalia,9,180,1.74,5,6.15,11.85
